State,Value,CV (%)
CALIFORNIA,354687000,53.5
CALIFORNIA,442682000,62.4
CALIFORNIA,335974000,19
CALIFORNIA,20205000,30.8
CALIFORNIA,67399000,40.8
CALIFORNIA,73578000,42.6
CALIFORNIA,29755000,28.6
CALIFORNIA,196606000,20.1
CALIFORNIA,200680000,26.4
CALIFORNIA,14362000,45.1
CALIFORNIA,40993000,67.7
CALIFORNIA,42139000,35.4
CALIFORNIA,60762,11.3
CALIFORNIA,1820,16.9
CALIFORNIA,26478,22.9
CALIFORNIA,6610,38.2
CALIFORNIA,8221,32.1
CALIFORNIA,15092,29.4
CALIFORNIA,2025,26.9
CALIFORNIA,50692,15
CALIFORNIA,7543,35.9
CALIFORNIA,2040,23.2
CALIFORNIA,13472,29.9
CALIFORNIA,4485,28.8
CALIFORNIA,16429,31.3
CALIFORNIA,8336,49.3
CALIFORNIA,16667,40.5
CALIFORNIA,54700,12.5
CALIFORNIA,1430,20.9
CALIFORNIA,24931,24.3
CALIFORNIA,5379,46.1
CALIFORNIA,7470,35.1
CALIFORNIA,13850,31.9
CALIFORNIA,1610,32.5
CALIFORNIA,50173,11.8
CALIFORNIA,4528,50.4
CALIFORNIA,19225,27.1
CALIFORNIA,34003,19.7
CALIFORNIA,46124,16.4
CALIFORNIA,6884,39.2
CALIFORNIA,1692,26.2
CALIFORNIA,11897,33.8
CALIFORNIA,15177,33.8
CALIFORNIA,15518,43.5
CALIFORNIA,6062,11.7
CALIFORNIA,1547,16.4
CALIFORNIA,1231,39.2
CALIFORNIA,751,36.6
CALIFORNIA,1241,26.4
CALIFORNIA,4569,13.5
CALIFORNIA,1575,16
CALIFORNIA,768,29.4
CALIFORNIA,1251,36.5
CALIFORNIA,1149,27.4
FLORIDA,3489,37.8
FLORIDA,197243000,25.2
FLORIDA,34788000,48.5
FLORIDA,38634000,56
FLORIDA,19241000,44.7
FLORIDA,81991000,26.5
FLORIDA,15870000,36.8
FLORIDA,34381000,41.7
FLORIDA,43320000,53.4
FLORIDA,124197000,25.9
FLORIDA,30780000,54.3
FLORIDA,121225000,26.6
FLORIDA,59280000,36.6
FLORIDA,61647000,41.6
FLORIDA,65451000,31.7
FLORIDA,73046000,51.8
FLORIDA,4008000,60.2
FLORIDA,16540000,39.3
FLORIDA,5168000,47.8
FLORIDA,19047,22
FLORIDA,10410,28
FLORIDA,1845,42.4
FLORIDA,4545,39.6
FLORIDA,16624,25
FLORIDA,6762,41.3
FLORIDA,3623,30.4
FLORIDA,1998,42.2
FLORIDA,16654,24.9
FLORIDA,8972,32.2
FLORIDA,15778,25.1
FLORIDA,3309,37.8
FLORIDA,12776,28.1
FLORIDA,14730,28
FLORIDA,2394,22.8
FLORIDA,1439,28.7
FLORIDA,1894,25.7
FLORIDA,860,40.4
GEORGIA,29200000,70.5
GEORGIA,3326,47.6
GEORGIA,3967,41.4
GEORGIA,197613000,6.8
GEORGIA,26119000,30.8
GEORGIA,37561000,15.9
GEORGIA,44921000,18.9
GEORGIA,30346000,13.8
GEORGIA,37006000,22.2
GEORGIA,152289000,7.6
GEORGIA,26882000,22.5
GEORGIA,51984000,19.9
GEORGIA,28058000,26.3
GEORGIA,45908000,13.8
GEORGIA,7813000,19.3
GEORGIA,51196000,19
GEORGIA,8821000,55.9
GEORGIA,156910000,7.7
GEORGIA,23560000,34
GEORGIA,29809000,18.6
GEORGIA,38645000,21.2
GEORGIA,23773000,15.8
GEORGIA,27648000,26.1
GEORGIA,144599000,8.6
GEORGIA,26870000,23
GEORGIA,114340000,10.3
GEORGIA,123507000,8.8
GEORGIA,23996000,24.6
GEORGIA,40295000,22.8
GEORGIA,22209000,32.3
GEORGIA,35810000,16.4
GEORGIA,7024000,20.8
GEORGIA,43032000,20.8
GEORGIA,8540000,57.7
GEORGIA,40703000,15.3
GEORGIA,2559000,37.1
GEORGIA,7753000,27.8
GEORGIA,6573000,28.2
GEORGIA,28781000,14.1
GEORGIA,5848000,30.7
GEORGIA,10098000,22.5
GEORGIA,30262,10.9
GEORGIA,15027,27.9
GEORGIA,3581,21
GEORGIA,1566,14.2
GEORGIA,9067,18.4
GEORGIA,824,21.4
GEORGIA,26245,12
GEORGIA,3761,38.7
GEORGIA,1190,16.5
GEORGIA,9500,32.2
GEORGIA,7573,19.1
GEORGIA,2711,16
GEORGIA,2085,14.3
GEORGIA,7139,48.9
GEORGIA,26145,12.4
GEORGIA,13523,30.8
GEORGIA,2733,25.6
GEORGIA,1367,15.7
GEORGIA,7936,20.8
GEORGIA,503,19.3
GEORGIA,25817,12.5
GEORGIA,3685,43.5
GEORGIA,21542,12.8
GEORGIA,22411,13.9
GEORGIA,3599,40.4
GEORGIA,907,19.4
GEORGIA,8238,37
GEORGIA,6191,22.5
GEORGIA,2365,17.1
GEORGIA,1804,14.6
GEORGIA,6640,52.5
GEORGIA,4116,12.1
GEORGIA,1505,28.7
GEORGIA,848,32.3
GEORGIA,1131,23.7
GEORGIA,3834,12.5
GEORGIA,1261,19.9
GEORGIA,1382,27.2
IDAHO,2679,21.1
IDAHO,461193000,10.5
IDAHO,83052000,30.3
IDAHO,24852000,28.6
IDAHO,73199000,23.3
IDAHO,134650000,26.1
IDAHO,39947000,22.4
IDAHO,56707000,27.1
IDAHO,317410000,15.3
IDAHO,48233000,17.7
IDAHO,89870000,27.2
IDAHO,259009000,13.9
IDAHO,24020000,25.8
IDAHO,92751000,34
IDAHO,18457000,39.1
IDAHO,59176000,20.2
IDAHO,319337000,12.6
IDAHO,62318000,38
IDAHO,19432000,32.7
IDAHO,65178000,25.9
IDAHO,68046000,27.3
IDAHO,33729000,25.7
IDAHO,288175000,14.9
IDAHO,127383000,25.7
IDAHO,149065000,14.1
IDAHO,220688000,18.1
IDAHO,35426000,21.5
IDAHO,180583000,17.1
IDAHO,19569000,26.9
IDAHO,60083000,26.8
IDAHO,39252000,27.7
IDAHO,141856000,18.7
IDAHO,5420000,58.5
IDAHO,8021000,30.4
IDAHO,66604000,44.9
IDAHO,6219000,36.3
IDAHO,96722000,28.3
IDAHO,78426000,23.6
IDAHO,32668000,83
IDAHO,19924000,25.1
IDAHO,16590,8.4
IDAHO,774,16.2
IDAHO,5635,19.8
IDAHO,2552,17.1
IDAHO,2837,17.8
IDAHO,3763,17.2
IDAHO,819,22.4
IDAHO,14033,10.5
IDAHO,1675,15.2
IDAHO,680,27.2
IDAHO,2678,11.7
IDAHO,2863,22.1
IDAHO,4314,15.7
IDAHO,3043,26.4
IDAHO,2152,19.7
IDAHO,13076,10.2
IDAHO,460,21.9
IDAHO,4840,22.1
IDAHO,2100,20.2
IDAHO,1843,22.6
IDAHO,3462,18.5
IDAHO,11889,9.5
IDAHO,2459,19.4
IDAHO,8159,15.2
IDAHO,11304,12.5
IDAHO,1299,18.2
IDAHO,1772,16.5
IDAHO,2334,23
IDAHO,3460,18
IDAHO,1424,27.5
IDAHO,3514,11.6
IDAHO,795,41.6
IDAHO,452,23.4
IDAHO,994,28.8
IDAHO,301,28.6
IDAHO,2729,15.9
IDAHO,907,12.8
IDAHO,854,31.3
IDAHO,728,22
ILLINOIS,2757,26.7
ILLINOIS,114226000,23.7
ILLINOIS,18065,8.5
ILLINOIS,26731,6.8
ILLINOIS,2109,28.9
ILLINOIS,3751674000,2.4
ILLINOIS,346146000,28.3
ILLINOIS,223687000,8.4
ILLINOIS,723882000,9.9
ILLINOIS,1289420000,6.4
ILLINOIS,384060000,9.5
ILLINOIS,557419000,14.3
ILLINOIS,2409096000,5.5
ILLINOIS,573001000,9
ILLINOIS,620906000,24
ILLINOIS,2404397000,4.1
ILLINOIS,163884000,23.7
ILLINOIS,444126000,9.9
ILLINOIS,73308000,17.4
ILLINOIS,468809000,8.5
ILLINOIS,48480000,21.8
ILLINOIS,2928607000,2.3
ILLINOIS,250576000,20.5
ILLINOIS,187285000,9.3
ILLINOIS,650339000,10.7
ILLINOIS,1108747000,6
ILLINOIS,344899000,10.3
ILLINOIS,375020000,13.5
ILLINOIS,2648670000,2.7
ILLINOIS,279937000,15.5
ILLINOIS,1003138000,6.4
ILLINOIS,1697602000,4.9
ILLINOIS,100237000,27.7
ILLINOIS,127630000,25.4
ILLINOIS,1966101000,4.2
ILLINOIS,518098000,9.3
ILLINOIS,444408000,13.8
ILLINOIS,1839437000,4.6
ILLINOIS,147562000,26.1
ILLINOIS,399542000,10.8
ILLINOIS,68072000,18.6
ILLINOIS,428737000,9.1
ILLINOIS,45257000,23.2
ILLINOIS,823067000,7.3
ILLINOIS,36402000,20
ILLINOIS,73543000,23.8
ILLINOIS,180673000,27.1
ILLINOIS,39161000,22.6
ILLINOIS,442995000,23.2
ILLINOIS,564959000,9
ILLINOIS,16322000,30.3
ILLINOIS,44584000,18.9
ILLINOIS,40072000,23.3
ILLINOIS,124457,3.5
ILLINOIS,879,32.2
ILLINOIS,51459,6.6
ILLINOIS,23589,8.4
ILLINOIS,18421,6.4
ILLINOIS,25316,6.9
ILLINOIS,3504,11.1
ILLINOIS,106435,3.9
ILLINOIS,12042,8.6
ILLINOIS,4705,13.9
ILLINOIS,29952,4.4
ILLINOIS,18675,8.8
ILLINOIS,28822,9.3
ILLINOIS,13169,13.9
ILLINOIS,18046,8.1
ILLINOIS,14518,11.7
ILLINOIS,107705,3.8
ILLINOIS,564,19.9
ILLINOIS,43956,7.2
ILLINOIS,21349,9.1
ILLINOIS,16459,6.4
ILLINOIS,22932,7.4
ILLINOIS,2443,10
ILLINOIS,97305,4.4
ILLINOIS,10400,10.5
ILLINOIS,25904,7.9
ILLINOIS,76247,3.7
ILLINOIS,1643,29.9
ILLINOIS,3911,23.1
ILLINOIS,93208,4.2
ILLINOIS,10645,9.2
ILLINOIS,3851,15.5
ILLINOIS,25625,4.5
ILLINOIS,16593,9.8
ILLINOIS,25299,10.1
ILLINOIS,11596,15.5
ILLINOIS,16232,8.6
ILLINOIS,12361,12.8
ILLINOIS,16752,8.7
ILLINOIS,7503,15.5
ILLINOIS,2240,20.9
ILLINOIS,1962,25.5
ILLINOIS,2383,15.9
ILLINOIS,13227,10.5
ILLINOIS,4327,15.1
ILLINOIS,2083,15.8
ILLINOIS,3523,20.5
ILLINOIS,1814,23.2
INDIANA,87426000,78.5
INDIANA,6356,19.2
INDIANA,14905,10.9
INDIANA,1501488000,2.7
INDIANA,211753000,39.5
INDIANA,126856000,10
INDIANA,283917000,9.6
INDIANA,501022000,12.3
INDIANA,196629000,10.4
INDIANA,152815000,30.7
INDIANA,1058386000,6.3
INDIANA,289865000,23.5
INDIANA,124740000,21
INDIANA,805711000,6.5
INDIANA,98209000,12.6
INDIANA,246622000,10.8
INDIANA,44722000,19.6
INDIANA,253324000,12.5
INDIANA,24404000,25.7
INDIANA,1252876000,2.7
INDIANA,136955000,24.8
INDIANA,109740000,11
INDIANA,263849000,10
INDIANA,440861000,11.6
INDIANA,181281000,10.9
INDIANA,120190000,28.6
INDIANA,1046036000,3.9
INDIANA,206840000,16.1
INDIANA,418133000,10.2
INDIANA,775460000,5.8
INDIANA,952108000,5.2
INDIANA,184206000,18.9
INDIANA,116563000,21.6
INDIANA,646206000,6.8
INDIANA,90871000,13.4
INDIANA,223368000,11.5
INDIANA,41979000,20.8
INDIANA,227140000,12.9
INDIANA,23312000,26.8
INDIANA,248612000,9.4
INDIANA,17116000,21
INDIANA,20068000,35.6
INDIANA,60161000,57.2
INDIANA,15348000,35.4
INDIANA,106279000,41.7
INDIANA,105660000,55.5
INDIANA,159505000,18.1
INDIANA,7338000,31.7
INDIANA,23254000,28.6
